Gene Symbol,Gene ID,Ensembl Gene ID
PLEKHG3,26030,ENSG00000126822
ELOVL7,79993,ENSG00000164181
SH3PXD2B,285590,ENSG00000174705
ZC3H12D,340152,ENSG00000178199
ALG6,29929,ENSG00000088035
AAR2,25980,ENSG00000131043
PRNP,5621,ENSG00000171867
RPS6,6194,ENSG00000137154
HLA-DQB1,3119,ENSG00000206302//ENSG00000233209//ENSG00000179344//ENSG00000231286//ENSG00000206237//ENSG00000225824//ENSG00000231939
PSMB9,5698,ENSG00000243958//ENSG00000240508//ENSG00000240118//ENSG00000239836//ENSG00000243594//ENSG00000240065//ENSG00000242711//ENSG00000243067
HLA-C,3107,ENSG00000206435//ENSG00000233841//ENSG00000228299//ENSG00000206452//ENSG00000237022//ENSG00000225691//ENSG00000204525
CXorf23,256643,ENSG00000173681
NBAS,51594,ENSG00000151779
TARSL2,,-
HEATR9,256957,ENSG00000276986//ENSG00000270379
TESPA1,9840,ENSG00000135426
TYW5,129450,ENSG00000162971
SRGAP2,23380,ENSG00000266028
KIAA0922,23240,ENSG00000121210
VWA8,23078,ENSG00000102763
SBNO1,55206,ENSG00000139697
ISPD,,-
GSAP,54103,ENSG00000186088
GTPBP10,85865,ENSG00000105793
LRRD1,401387,ENSG00000240720
WDR91,29062,ENSG00000105875
RAB19,401409,ENSG00000146955
POTEF,728378,ENSG00000196604
VPS37C,55048,ENSG00000167987
TMEM189,,-
TRAPPC13,80006,ENSG00000113597
CNOT1,23019,ENSG00000125107
CARNS1,57571,ENSG00000172508
CCDC88B,283234,ENSG00000168071
MAGEA13P,139363,-
ANKRD33B,651746,ENSG00000164236
KRT87P,85349,ENSG00000135477
PGP,283871,ENSG00000184207
C5orf51,285636,ENSG00000205765
KIAA1875,,-
RCCD1,91433,ENSG00000166965
PLEKHD1,400224,ENSG00000175985
HCFC1,3054,ENSG00000172534
PRORSD1P,344405,ENSG00000162997
FAM205CP,,-
ZNF316,100131017,ENSG00000205903
FAM115C,,-
2016-09-08 00:00:00,,-
MFSD2B,388931,ENSG00000205639
SDHAF1,644096,ENSG00000205138
DYNLT3,6990,ENSG00000165169
YIF1A,10897,ENSG00000174851
ZMYM3,9203,ENSG00000147130
TRAF3,7187,ENSG00000131323
TUBAL3,79861,ENSG00000178462
FBLL1,345630,ENSG00000188573
SMCHD1,23347,ENSG00000101596
NCF1B,654816,ENSG00000182487
LILRA5,353514,ENSG00000278355//ENSG00000275404//ENSG00000274914//ENSG00000274113//ENSG00000187116
CCDC69,26112,ENSG00000198624
UNC119B,84747,ENSG00000175970
DOCK11,139818,ENSG00000147251
METTL15,196074,ENSG00000169519
SOWAHD,347454,ENSG00000187808
IRG1,,-
LIPT2,387787,ENSG00000175536
CCDC85C,317762,ENSG00000205476
CNIH4,29097,ENSG00000143771
PRAF2,11230,ENSG00000243279
DIAPH2,1730,ENSG00000147202
POLA1,5422,ENSG00000101868
ENSA,2029,ENSG00000143420
MATN4,8785,ENSG00000124159
CD9,928,ENSG00000010278
AMOT,154796,ENSG00000126016
PIP5K1A,8394,ENSG00000143398
BTBD11,121551,ENSG00000151136
FAM3A,60343,ENSG00000071889
IGFBP3,3486,ENSG00000146674
FAM127A,,-
ZSWIM8,23053,ENSG00000214655
ARHGAP32,9743,ENSG00000134909
A2ML1,144568,ENSG00000166535
PLEKHA2,59339,ENSG00000169499
HSPA8,3312,ENSG00000109971
YDJC,150223,ENSG00000161179
FMR1,2332,ENSG00000102081
CEP78,84131,ENSG00000148019
KIR2DL4,3805,ENSG00000273498//ENSG00000189013//ENSG00000284013//ENSG00000276044//ENSG00000284509//ENSG00000278201//ENSG00000277355//ENSG00000278430//ENSG00000283961//ENSG00000277540//ENSG00000274609//ENSG00000276979//ENSG00000277362//ENSG00000274945//ENSG00000274955//ENSG00000278606//ENSG00000278271//ENSG00000283986//ENSG00000278074//ENSG00000284457//ENSG00000274232//ENSG00000277750//ENSG00000275317//ENSG00000284365//ENSG00000275456//ENSG00000275848//ENSG00000274189//ENSG00000284460//ENSG00000284562//ENSG00000276779//ENSG00000283869//ENSG00000274193//ENSG00000273575//ENSG00000277076//ENSG00000284206//ENSG00000275732//ENSG00000275699//ENSG00000277850//ENSG00000275237//ENSG00000284340//ENSG00000277964
STRA13,,-
HMSD,284293,ENSG00000221887
TMEM147,10430,ENSG00000105677
SUMO3,6612,ENSG00000184900
TSSC1,,-
HIDE1,255809,ENSG00000214212
NCF1C,654817,ENSG00000165178
FABP1,2168,ENSG00000163586
VPREB3,29802,ENSG00000128218
MATR3,9782,ENSG00000015479//ENSG00000280987
NUDT19,390916,ENSG00000213965
RAB34,83871,ENSG00000109113
ERG,2078,ENSG00000157554
LILRA2,11027,ENSG00000275290//ENSG00000278634//ENSG00000274000//ENSG00000239998
PTTG1IP,754,ENSG00000183255
PDS5B,23047,ENSG00000083642
RNF185,91445,ENSG00000138942
SRRM1,10250,ENSG00000133226
NAA50,80218,ENSG00000121579
MYO1G,64005,ENSG00000136286
CBX6,23466,ENSG00000183741
JOSD1,9929,ENSG00000100221
MIEF1,54471,ENSG00000100335
APOBEC3B,9582,ENSG00000179750
MB,4151,ENSG00000198125
EWSR1,2130,ENSG00000182944
TFEB,7942,ENSG00000112561
APOC3,345,ENSG00000110245
PTPLA,9200,ENSG00000165996
NR3C2,4306,ENSG00000151623
RAC2,5880,ENSG00000128340
TSPO,706,ENSG00000100300
2016-09-03 00:00:00,,-
FAM109B,,-
TRAF3IP3,80342,ENSG00000009790
MAD2L2,10459,ENSG00000116670
MBNL3,55796,ENSG00000076770
NRD1,4898,ENSG00000078618
TSPAN2,10100,ENSG00000134198
ATP1A2,477,ENSG00000018625
PEA15,8682,ENSG00000162734
MRPL43,84545,ENSG00000055950
CDC37L1,55664,ENSG00000106993
POSTN,10631,ENSG00000133110
ARHGEF7,8874,ENSG00000102606
TMEM9,252839,ENSG00000116857
GNAQ,2776,ENSG00000156052
UBE2J2,118424,ENSG00000160087
2016-09-06 00:00:00,,-
CD58,965,ENSG00000116815
GUK1,2987,ENSG00000143774
CD55,1604,ENSG00000196352
USF1,7391,ENSG00000158773
CLK2,1196,ENSG00000261893//ENSG00000176444
MYO9A,4649,ENSG00000066933
SMIM1,388588,ENSG00000235169
ZNF575,284346,ENSG00000176472
DPEP2,64174,ENSG00000167261
TM2D3,80213,ENSG00000184277
MORF4L1,10933,ENSG00000185787
nan,,-
ZCCHC10,54819,ENSG00000155329
MFAP5,8076,ENSG00000197614
STK33,65975,ENSG00000130413
CLN3,1201,ENSG00000188603
GIMAP6,474344,ENSG00000133561
BNIP3,664,ENSG00000176171
CS,1431,ENSG00000062485
TTYH2,94015,ENSG00000141540
CARS,833,ENSG00000278191//ENSG00000110619
FNTB,2342,ENSG00000257365
MRPL12,6182,ENSG00000262814
SULT1C2,6819,ENSG00000198203
NQO1,1728,ENSG00000181019
PLAT,5327,ENSG00000104368
C1R,715,ENSG00000288512//ENSG00000159403
N4BP2L2,10443,ENSG00000244754
SEC61A1,29927,ENSG00000058262
ZDHHC20,253832,ENSG00000180776
PRKD2,25865,ENSG00000105287
MTAP,4507,ENSG00000099810
TMBIM1,64114,ENSG00000135926
CCDC28A,25901,ENSG00000024862
CNN2,1265,ENSG00000064666
IKZF2,22807,ENSG00000030419
RCBTB2,1102,ENSG00000136161
EAF2,55840,ENSG00000145088
DFFB,1677,ENSG00000169598
TMEM134,80194,ENSG00000172663
PEX5,5830,ENSG00000288217//ENSG00000139197
DERL1,79139,ENSG00000136986
RIOK3,8780,ENSG00000101782
CFB,629,ENSG00000239754//ENSG00000204359//ENSG00000243570//ENSG00000241253//ENSG00000241534//ENSG00000243649//ENSG00000242335
ATP2C1,27032,ENSG00000017260
GNLY,10578,ENSG00000115523
CHCHD10,400916,ENSG00000250479//ENSG00000273607
CDCA5,113130,ENSG00000146670
LBH,81606,ENSG00000213626
DGKB,1607,ENSG00000136267
LIMK2,3985,ENSG00000182541
MPV17,4358,ENSG00000115204
SYNGR1,9145,ENSG00000100321
PES1,23481,ENSG00000100029
R3HDM2,22864,ENSG00000179912
IL6,3569,ENSG00000136244
