ENTREZ_GENE_ID,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state,pos,0.5,top 0.25
11259,4008,0,0,1577,0,1801,0,0,0.375,0,0
81608,133193,95228,83471,89234,60203,70730,75639,83012,1.0,1,1
51024,291308,249754,246690,247890,290321,366387,302031,559561,1.0,1,1
128486,0,0,0,908,2165,518,2312,4360,0.625,1,0
51303,157910,135176,120397,126259,114692,108574,149856,141291,1.0,1,1
23307,47579,29155,35905,33888,20899,19307,20368,27239,1.0,1,0
2280,3418665,2095692,1911969,1325669,993270,618986,660068,1021231,1.0,1,1
2286,199685,129501,149545,134817,192731,138031,163611,244024,1.0,1,1
2287,699621,790673,623254,384664,239395,288946,181810,315243,1.0,1,1
2288,1218846,1394826,1022606,545256,190593,187031,172233,236887,1.0,1,1
2289,408394,457571,367123,319037,225436,218238,239519,327022,1.0,1,1
51661,0,0,479,0,0,0,0,0,0.125,0,0
23770,352548,377410,339624,160536,64855,84803,108141,117635,1.0,1,1
63943,2245,2573,2217,0,0,0,0,1001,0.5,0,0
80308,22456,23751,22314,6515,33142,52311,48628,58869,1.0,1,1
201163,4686,6036,6254,4059,3247,2836,6136,4591,1.0,1,0
2313,29188,17258,42732,34427,62899,57738,59272,66345,1.0,1,1
2314,205867,228513,251383,151102,122702,94212,85753,134615,1.0,1,1
2316,1132992,1370496,1258125,1215114,957495,917444,707826,1088452,1.0,1,1
2317,28390,62289,68172,87045,229120,163670,149846,225230,1.0,1,1
10211,585375,412072,474506,340527,395631,365893,361959,430989,1.0,1,1
2319,344492,261286,270972,241333,277237,254250,309168,275581,1.0,1,1
2323,6696,5390,0,0,0,0,0,0,0.25,0,0
28982,1638,1263,1952,1579,0,0,0,0,0.5,0,0
114984,61511,111392,81650,95868,221979,182627,209940,252795,1.0,1,1
752,281358,376201,380221,214962,218009,219537,203281,264330,1.0,1,1
114793,140,0,1023,0,0,0,0,0,0.25,0,0
91010,0,0,0,506,0,0,0,345,0.25,0,0
2329,0,0,0,0,339,511,376,401,0.5,0,0
2330,0,0,0,0,0,0,0,0,0.0,0,0
2331,0,0,0,0,0,0,0,0,0.0,0,0
2332,44816,29245,34057,29832,27955,24509,24833,33113,1.0,1,0
2335,10915,1303,258,1806,682,1989,48859,44360,1.0,1,0
64122,3991,6337,5044,886,6541,13606,6984,12987,1.0,1,0
79672,114891,138066,92386,75415,97312,104426,48296,146585,1.0,1,1
23048,451651,335757,309316,182225,232417,241829,234913,290266,1.0,1,1
54874,0,0,0,0,0,0,0,0,0.0,0,0
23360,10174,26502,17478,19019,19057,24924,21491,26602,1.0,1,0
22862,5560,11210,9324,13487,24240,28169,32514,34775,1.0,1,0
64778,1081,505,563,569,199,222,0,244,0.875,1,0
2339,103073,35529,70747,14178,51399,50722,39759,62269,1.0,1,1
2342,23648,19570,23063,13108,7255,8661,5488,12240,1.0,1,0
54914,25919,24217,15976,11867,4699,3377,1479,4499,1.0,1,0
2350,0,0,0,0,0,0,0,0,0.0,0,0
2352,0,0,0,0,0,0,0,0,0.0,0,0
2353,0,964,0,0,0,0,1721,0,0.25,0,0
2354,0,0,0,0,628,0,1503,2459,0.375,0,0
2355,1138,2459,1887,2936,0,0,0,0,0.5,0,0
55810,0,0,2052,312,151,0,349,295,0.625,1,0
22887,0,0,3989,0,787,2879,0,1093,0.5,0,0
221937,71646,64544,49238,44908,52526,59119,41260,80164,1.0,1,1
3607,10361,9030,13214,4753,3682,3701,3248,5987,1.0,1,0
