genes,bHCnaiveB_S1R1,bHCnaiveB_S1R2,bHCnaiveB_S1R3,bSLEnaiveB_S1R1,bSLEnaiveB_S1R2,bSLEnaiveB_S1R3
ENSG00000035720,2526,3931,899,3500,5520,1582
ENSG00000035862,65,251,72,112,99,33
ENSG00000035928,829,1332,386,978,1918,592
ENSG00000036054,517,746,250,604,1293,338
ENSG00000036257,1339,1971,831,1257,3552,729
ENSG00000036448,10,2,9,19,2,12
ENSG00000036473,0,4,0,0,0,0
ENSG00000036530,0,1,0,3,0,0
ENSG00000036549,1177,1185,363,946,1285,572
ENSG00000036565,0,0,0,8,0,0
ENSG00000036672,13,0,0,0,0,0
ENSG00000036828,0,5,2,18,0,1
ENSG00000037042,6,23,8,60,30,40
ENSG00000037241,31,33,12,36,11,12
ENSG00000037280,0,0,1,4,0,0
ENSG00000037474,669,1669,347,1097,1234,561
ENSG00000037637,939,818,214,543,1393,361
ENSG00000037749,201,520,178,317,638,190
ENSG00000037757,81,152,15,92,131,73
ENSG00000037897,14,72,6,29,26,19
ENSG00000037965,1,0,0,13,0,0
ENSG00000038002,92,215,76,155,215,70
ENSG00000038210,202,336,241,355,1340,216
ENSG00000038219,3524,4898,2531,3742,13365,1907
ENSG00000038274,1732,2785,777,2298,2936,1015
ENSG00000038295,0,1,0,12,1,1
ENSG00000038358,116,278,34,186,777,137
ENSG00000038382,3176,5673,1000,3222,5134,1544
ENSG00000038427,98,62,211,94,233,361
ENSG00000038532,798,946,232,501,1806,405
ENSG00000038945,9,4,2,5,3,3
ENSG00000039068,2,4,4,5,1,1
ENSG00000039123,1061,1207,466,656,1664,468
ENSG00000039139,0,5,2,13,3,0
ENSG00000039319,557,636,278,409,1423,197
ENSG00000039523,533,1793,302,829,4493,518
ENSG00000039537,0,1,0,8,0,0
ENSG00000039560,2,36,4,30,0,0
ENSG00000039600,16,31,14,19,98,12
ENSG00000039650,91,264,37,147,251,67
ENSG00000039987,0,0,0,0,0,0
ENSG00000040199,609,904,178,523,1375,395
ENSG00000040275,122,191,84,196,585,81
ENSG00000040341,605,475,176,330,706,190
ENSG00000040487,78,69,10,48,86,48
ENSG00000040531,120,152,29,94,158,61
ENSG00000040608,0,0,2,1,20,0
ENSG00000040633,73,91,26,112,240,52
ENSG00000040731,0,3,0,2,1,0
ENSG00000040933,424,247,54,281,1789,232
ENSG00000041353,5,22,0,0,7,0
ENSG00000041357,733,1363,292,841,1108,570
ENSG00000041515,0,1,0,2,1,0
ENSG00000041802,293,611,166,302,755,209
ENSG00000041880,26,87,21,78,108,36
ENSG00000041982,0,5,0,3,0,0
ENSG00000041988,23,21,2,18,3,17
ENSG00000042062,173,274,83,87,816,56
ENSG00000042088,437,545,144,425,1092,340
ENSG00000042286,15,96,28,57,197,39
ENSG00000042304,1,0,0,0,0,0
ENSG00000042317,21,47,7,72,10,15
ENSG00000042429,490,588,279,207,666,216
ENSG00000042445,29,61,47,83,86,40
ENSG00000042493,166,149,53,280,90,91
ENSG00000042753,8,50,18,47,37,21
ENSG00000042781,0,4,2,17,76,1
ENSG00000042813,3,3,0,0,3,0
ENSG00000042832,11,14,8,16,28,11
ENSG00000042980,10236,10454,3049,7016,9203,5091
ENSG00000043039,0,0,0,5,0,0
ENSG00000043093,622,875,337,406,1164,276
ENSG00000043143,993,1939,479,1323,3580,871
ENSG00000043355,0,0,0,0,0,0
ENSG00000043462,194,149,71,148,1951,82
ENSG00000043514,285,335,82,232,489,86
ENSG00000043591,0,1,0,0,9,0
ENSG00000044012,0,0,0,2,0,0
ENSG00000044090,76,210,44,113,169,86
