"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000010219","107","90","409","11","302","525","203","379","154","250","47"
"ENSG00000010244","1493","1760","5288","1260","3072","2784","2276","2671","3448","6058","2058"
"ENSG00000010256","7486","2242","1103","11","1565","1067","1586","1904","163","80","9"
"ENSG00000010270","924","1146","13","491","648","551","502","455","332","328","72"
"ENSG00000010278","238","1037","4","6","270","104","375","503","82","173","165"
"ENSG00000010282","0","0","0","23","0","0","0","0","0","2","0"
"ENSG00000010292","0","155","10","114","369","211","439","400","249","395","71"
"ENSG00000010295","170","60","0","19","934","1221","893","260","197","227","39"
"ENSG00000010310","1","0","13","2","14","9","5","15","0","7","1"
"ENSG00000010318","310","353","1783","188","175","157","159","72","88","151","30"
"ENSG00000010319","0","0","139","0","0","0","0","0","1","1","0"
"ENSG00000010322","826","448","6","17","1096","1732","964","1220","459","879","136"
"ENSG00000010327","0","0","386","0","168","135","146","617","1","1","3"
"ENSG00000010361","61","12","0","20","130","80","101","120","36","94","15"
"ENSG00000010379","0","0","17","0","0","0","0","0","7","5","0"
"ENSG00000010404","1115","868","508","51","457","830","328","452","152","162","65"
"ENSG00000010438","0","2","0","0","0","0","0","0","1","1","0"
"ENSG00000010539","0","0","34","19","174","139","203","53","74","203","60"
"ENSG00000010610","835","25","0","56","311","284","557","1376","5","8","7"
"ENSG00000010626","4","80","0","6","151","47","43","85","55","22","4"
"ENSG00000010671","856","1483","2","286","5283","6553","4029","4579","2145","3212","639"
"ENSG00000010704","5","0","0","1","30","32","24","22","22","9","13"
"ENSG00000010803","219","226","0","70","236","338","287","177","312","372","76"
"ENSG00000010810","995","512","579","568","441","568","479","263","679","898","224"
"ENSG00000010818","6","152","388","19","1031","911","592","420","1542","2234","712"
"ENSG00000010932","315","4","557","0","50","20","27","1","21","11","8"
"ENSG00000011007","837","1752","2996","772","985","778","839","1191","362","874","182"
"ENSG00000011009","105","125","2","0","704","300","544","616","48","118","22"
"ENSG00000011021","934","392","8","364","1039","1073","709","797","794","1543","436"
